site,name,country,lat,lon,alt,height,kindz,time,tracer,type,integration,timezone,time_LT,timestamp,mix_bg_CO2,mix_bg_D14C,mix_background,footprint,obsid,mix_co2_ocean,mix_co2_biosphere,fossil_True,nuclear_True,mix_c14_ocedis,mix_c14_biodis,mix_c14_ocean,mix_c14_biosphere,mix_c14_fossil,co_fossil_True,obs,mix,mix_fg_CO2,co_fossil_Prior,fossil_Prior,nuclear_Prior,ffCO2,ffCO,nuc14C,ffCO2_ffCO,ffCO2_nuc14C,obs_permil
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-01 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-01 13:00:00+01:00,568123200.0,408.3260317295849,1.6813247273555725,0.6865286539699271,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180101-120000,-0.0273297092204573,3.1036874938370267,8.58617857033458,0.2869849435114477,0.0013992656062057,0.0917754022495592,-0.0002292962603596,0.0236246877383546,-8.58617857033458,0.0699276978519566,-7.567696499420204,-7.496094913519445,419.98856808453604,0.0699276978519566,6.076755215172902,0.2153833576106881,1,1,1,1,1,-17.84833084316385
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-02 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-02 13:00:00+01:00,568209600.0,408.4156109499706,1.6067151494420628,0.6562075493819535,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180102-120000,-0.0520511162201234,1.0006134184615474,2.320508996618909,0.2086201410237743,0.004144222189167,0.025937294778135,-0.0004367088650868,0.0072697730513486,-2.320508996618909,0.0188411266042048,-1.4960340982734135,-1.4187667250596174,411.68468224883094,0.0188411266042048,1.5635505580041362,0.1313527678099777,0,0,1,0,0,-3.44624608646985
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-03 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-03 13:00:00+01:00,568296000.0,408.4222525694102,1.3716656903934197,0.5602187910426557,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180103-120000,-0.0305449450210002,5.007496512467714,6.920101584780451,0.3007628130813498,0.0042552041322614,0.0979795950996992,-0.0002432625134144,0.0347133000932297,-6.920101584780451,0.0528171374259775,-5.956504437370736,-5.922415143844669,420.31930572163736,0.0528171374259775,5.911994646222039,0.2666735195552836,1,1,1,1,1,-14.090276280973102
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-04 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-04 13:00:00+01:00,568382400.0,408.1665247466893,1.256344779102489,0.51279788236991,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180104-120000,0.0025912652168539,1.386335864327922,3.892804136152287,0.2505533576167544,0.0011749600231198,0.0312080763253634,1.787972999629214e-05,0.0095657174638626,-3.892804136152287,0.0257199800400573,-3.0713786275291235,-3.08748626262328,413.44825601238637,0.0257199800400573,2.444770418560705,0.2666609927109111,0,0,1,0,0,-7.467648533340973
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-05 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-05 13:00:00+01:00,568468800.0,408.1192575622515,1.4081525015048328,0.5746941534485797,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180105-120000,-0.0272853919652952,2.4238186896295715,5.114953187996305,0.3986353946655939,0.003440519497975,0.0843390964657556,-0.0001885745365033,0.0167295666304045,-5.114953187996305,0.051665589732575,-4.094391118943133,-4.0373030318245,415.63074404791206,0.051665589732575,3.632611345188734,0.3415473075469598,0,1,1,0,0,-9.713677560289183
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-06 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-06 13:00:00+01:00,568555200.0,408.8068703677428,1.772012129960841,0.7244107331029692,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180106-120000,-0.0455357342885911,3.918912157607121,5.143772541211155,0.5173499997565684,0.0041965075320368,0.093010378376697,-0.0003141965665912,0.0270404938874891,-5.143772541211155,0.0424320551255297,-3.915135156569102,-3.778078625121986,417.8240193322725,0.0424320551255297,4.576379327424757,0.3802934683094521,1,1,1,1,1,-9.04227246475624
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-07 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-07 13:00:00+01:00,568641600.0,409.9791314821729,-0.2156780782566996,-0.0884235112034258,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180107-120000,0.0241183787854052,0.7747453845043748,0.5418359235929743,0.894059872524544,2.274738352816705e-05,0.0374324539161575,0.000166276913621,0.0053523097271031,-0.5418359235929743,0.0051809234268791,-0.0517026080631122,0.3067742256685539,411.31983116905565,0.0051809234268791,0.3209720457260562,0.5355830387928778,0,0,1,0,0,0.7458289205182215
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-08 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-08 13:00:00+01:00,568728000.0,409.2022141606053,0.0959620456964485,0.0392678815743679,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180108-120000,0.0311464284307187,2.442894580862364,1.286541972646813,0.2338887760845895,2.5427239649868325e-05,0.057863769133702,0.0002142687311688,0.0168758798967917,-1.286541972646813,0.0198153828977953,-0.9907514635564212,-0.938405969986543,412.9627971425452,0.0198153828977953,1.178359660164854,0.1815432825147112,0,0,1,0,0,-2.272374113309357
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-09 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-09 13:00:00+01:00,568814400.0,408.63272827536736,0.5127691533218737,0.2095342580973673,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180109-120000,-0.0150567198583742,0.0122698803029775,0.0161654569530748,0.0156914828049864,3.943958731104706e-06,0.0006077163663107,-0.0001039475596041,8.545484512022705e-05,-0.0161654569530748,8.681007333994605e-05,0.2059125771628405,0.2096534515598368,408.64610689276503,8.681007333994605e-05,0.0067970798456195,0.0119506084079902,0,0,1,0,0,0.5130440447701441
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-10 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-10 13:00:00+01:00,568900800.0,408.7536857427421,0.5881510864835565,0.240408924373752,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180110-120000,-0.0304654736094873,4.617531551689942,0.9887266850017112,0.7436938513425809,5.885577042723238e-05,0.1086454298405777,-0.0002102523803462,0.0318649103021565,-0.9887266850017112,0.0156778912968491,0.0668609549648958,0.135735034247437,414.3294785058243,0.0156778912968491,1.284600636071436,0.6748197720600397,0,0,1,0,0,0.32760168245071886
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-11 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-11 13:00:00+01:00,568987200.0,408.8166732216988,0.4671373412876941,0.1909735338028644,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180111-120000,-0.0441716855557962,6.051003723747332,2.215105470753666,0.2785852198671394,8.379089138266414e-05,0.1452445450541414,-0.0003047226070416,0.0417643217816499,-2.215105470753666,0.0241899308866246,-1.6145943850048994,-1.55875878196353,417.038610730644,0.0241899308866246,2.039889827928597,0.22274961682577,0,0,1,0,0,-3.737684573695978
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-12 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-12 13:00:00+01:00,569073600.0,408.78369700053946,0.4277017640181733,0.1748375083090012,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180112-120000,-0.0538099517776361,2.7939135298640387,4.352952178616809,1.7710878571010906,0.002128610389263,0.0992329066300452,-0.0003711511251565,0.0192986752568776,-4.352952178616809,0.0259994243127605,-2.6013372041356875,-2.2867377720556874,415.8767527572427,0.0259994243127605,1.8660868463995792,1.4564884250210903,0,0,0,0,0,-5.498594852669035
BIK,Bialystok,PL,53.2294,23.0128,183.0,300.0,1,2018-01-13 12:00:00,c14,hrly,,Europe/Warsaw,2018-01-13 13:00:00+01:00,569160000.0,411.7237293017729,-3.5435827181564425,-1.4589770918086835,/lunarc/nobackup/projects/ghg_inv/carlos/data/footprints/co2/BIK.300m.2018-01.hdf,BIK.300m.20180113-120000,0.0,1.359373440345581,0.474631686378701,0.0,0.0,0.0340111626719642,0.0,0.0093796767383845,-0.474631686378701,0.0066748256771791,-1.890217938777036,-1.890217938777036,413.55773442849716,0.0066748256771791,0.4673847581051959,0.0,0,0,1,0,0,-4.570626496416907
