site,time,obs_permil
JFJ,2018-01-01 00:00:00,7.28
JFJ,2018-01-02 00:00:00,7.28
JFJ,2018-01-03 00:00:00,7.28
JFJ,2018-01-04 00:00:00,7.28
JFJ,2018-01-05 00:00:00,7.28
JFJ,2018-01-06 00:00:00,7.28
JFJ,2018-01-07 00:00:00,7.28
JFJ,2018-01-08 00:00:00,7.28
JFJ,2018-01-09 00:00:00,7.28
JFJ,2018-01-10 00:00:00,7.28
JFJ,2018-01-11 00:00:00,7.28
JFJ,2018-01-12 00:00:00,7.28
JFJ,2018-01-13 00:00:00,7.28
JFJ,2018-01-14 00:00:00,7.28
JFJ,2018-01-15 00:00:00,7.28
NOR,2018-01-02 00:00:00,8.44
NOR,2018-01-03 00:00:00,8.44
NOR,2018-01-04 00:00:00,8.44
NOR,2018-01-05 00:00:00,8.44
NOR,2018-01-06 00:00:00,8.44
NOR,2018-01-07 00:00:00,8.44
NOR,2018-01-08 00:00:00,8.44
NOR,2018-01-09 00:00:00,8.44
NOR,2018-01-10 00:00:00,8.44
NOR,2018-01-11 00:00:00,8.44
NOR,2018-01-12 00:00:00,8.44
NOR,2018-01-13 00:00:00,8.44
NOR,2018-01-14 00:00:00,8.44
NOR,2018-01-15 00:00:00,8.44
NOR,2018-01-16 00:00:00,8.44
KRE,2018-01-03 00:00:00,-1.12
KRE,2018-01-04 00:00:00,-1.12
KRE,2018-01-05 00:00:00,-1.12
KRE,2018-01-06 00:00:00,-1.12
KRE,2018-01-07 00:00:00,-1.12
KRE,2018-01-08 00:00:00,-1.12
KRE,2018-01-09 00:00:00,-1.12
KRE,2018-01-10 00:00:00,-1.12
KRE,2018-01-11 00:00:00,-1.12
KRE,2018-01-12 00:00:00,-1.12
KRE,2018-01-13 00:00:00,-1.12
KRE,2018-01-14 00:00:00,-1.12
KRE,2018-01-15 00:00:00,-1.12
KRE,2018-01-16 00:00:00,-1.12
KRE,2018-01-17 00:00:00,-1.12
TRN,2018-01-03 00:00:00,2.21
TRN,2018-01-04 00:00:00,2.21
TRN,2018-01-05 00:00:00,2.21
TRN,2018-01-06 00:00:00,2.21
TRN,2018-01-07 00:00:00,2.21
TRN,2018-01-08 00:00:00,2.21
TRN,2018-01-09 00:00:00,2.21
TRN,2018-01-10 00:00:00,2.21
TRN,2018-01-11 00:00:00,2.21
TRN,2018-01-12 00:00:00,2.21
TRN,2018-01-13 00:00:00,2.21
TRN,2018-01-14 00:00:00,2.21
TRN,2018-01-15 00:00:00,2.21
TRN,2018-01-16 00:00:00,2.21
TRN,2018-01-17 00:00:00,2.21
TRN,2018-01-18 00:00:00,2.21
TRN,2018-01-19 00:00:00,2.21
TRN,2018-01-20 00:00:00,2.21
TRN,2018-01-21 00:00:00,2.21
TRN,2018-01-22 00:00:00,2.21
TRN,2018-01-23 00:00:00,2.21
TRN,2018-01-24 00:00:00,2.21
OPE,2018-01-08 00:00:00,-2.09
OPE,2018-01-09 00:00:00,-2.09
OPE,2018-01-10 00:00:00,-2.09
OPE,2018-01-11 00:00:00,-2.09
OPE,2018-01-12 00:00:00,-2.09
OPE,2018-01-13 00:00:00,-2.09
OPE,2018-01-14 00:00:00,-2.09
OPE,2018-01-15 00:00:00,-2.09
OPE,2018-01-16 00:00:00,-2.09
OPE,2018-01-17 00:00:00,-2.09
OPE,2018-01-18 00:00:00,-2.09
OPE,2018-01-19 00:00:00,-2.09
OPE,2018-01-20 00:00:00,-2.09
OPE,2018-01-21 00:00:00,-2.09
OPE,2018-01-22 00:00:00,-2.09
HTM,2018-01-09 00:00:00,0.05
HTM,2018-01-10 00:00:00,0.05
HTM,2018-01-11 00:00:00,0.05
HTM,2018-01-12 00:00:00,0.05
HTM,2018-01-13 00:00:00,0.05
HTM,2018-01-14 00:00:00,0.05
HTM,2018-01-15 00:00:00,0.05
HTM,2018-01-16 00:00:00,0.05
HTM,2018-01-17 00:00:00,0.05
HTM,2018-01-18 00:00:00,0.05
HTM,2018-01-19 00:00:00,0.05
HTM,2018-01-20 00:00:00,0.05
HTM,2018-01-21 00:00:00,0.05
HTM,2018-01-22 00:00:00,0.05
HTM,2018-01-23 00:00:00,0.05
HTM,2018-01-24 00:00:00,0.05
HTM,2018-01-25 00:00:00,0.05
HTM,2018-01-26 00:00:00,0.05
PAL,2018-01-09 00:00:00,7.84
PAL,2018-01-10 00:00:00,7.84
PAL,2018-01-11 00:00:00,7.84
PAL,2018-01-12 00:00:00,7.84
PAL,2018-01-13 00:00:00,7.84
PAL,2018-01-14 00:00:00,7.84
PAL,2018-01-15 00:00:00,7.84
PAL,2018-01-16 00:00:00,7.84
PAL,2018-01-17 00:00:00,7.84
PAL,2018-01-18 00:00:00,7.84
PAL,2018-01-19 00:00:00,7.84
PAL,2018-01-20 00:00:00,7.84
PAL,2018-01-21 00:00:00,7.84
PAL,2018-01-22 00:00:00,7.84
PAL,2018-01-23 00:00:00,7.84
PAL,2018-01-24 00:00:00,7.84
HPB,2018-01-10 00:00:00,0.68
HPB,2018-01-11 00:00:00,0.68
HPB,2018-01-12 00:00:00,0.68
HPB,2018-01-13 00:00:00,0.68
HPB,2018-01-14 00:00:00,0.68
HPB,2018-01-15 00:00:00,0.68
HPB,2018-01-16 00:00:00,0.68
HPB,2018-01-17 00:00:00,0.68
HPB,2018-01-18 00:00:00,0.68
HPB,2018-01-19 00:00:00,0.68
HPB,2018-01-20 00:00:00,0.68
HPB,2018-01-21 00:00:00,0.68
HPB,2018-01-22 00:00:00,0.68
HPB,2018-01-23 00:00:00,0.68
HPB,2018-01-24 00:00:00,0.68
SVB,2018-01-11 00:00:00,6.28
SVB,2018-01-12 00:00:00,6.28
SVB,2018-01-13 00:00:00,6.28
SVB,2018-01-14 00:00:00,6.28
SVB,2018-01-15 00:00:00,6.28
SVB,2018-01-16 00:00:00,6.28
SVB,2018-01-17 00:00:00,6.28
SVB,2018-01-18 00:00:00,6.28
SVB,2018-01-19 00:00:00,6.28
SVB,2018-01-20 00:00:00,6.28
SVB,2018-01-21 00:00:00,6.28
SVB,2018-01-22 00:00:00,6.28
SVB,2018-01-23 00:00:00,6.28
SVB,2018-01-24 00:00:00,6.28
SVB,2018-01-25 00:00:00,6.28
JFJ,2018-01-15 00:00:00,6.52
JFJ,2018-01-16 00:00:00,6.52
JFJ,2018-01-17 00:00:00,6.52
JFJ,2018-01-18 00:00:00,6.52
JFJ,2018-01-19 00:00:00,6.52
JFJ,2018-01-20 00:00:00,6.52
JFJ,2018-01-21 00:00:00,6.52
JFJ,2018-01-22 00:00:00,6.52
JFJ,2018-01-23 00:00:00,6.52
JFJ,2018-01-24 00:00:00,6.52
