prior rel bias Study Domain,prior unc Study Domain frac,post bias red BASE Study Domain,post unc red BASE Study Domain,post bias red CORSO Study Domain,post unc red CORSO Study Domain,prior rel bias Western Europe,prior unc Western Europe frac,post bias red BASE Western Europe,post unc red BASE Western Europe,post bias red CORSO Western Europe,post unc red CORSO Western Europe,prior rel bias DE,prior unc DE frac,post bias red BASE DE,post unc red BASE DE,post bias red CORSO DE,post unc red CORSO DE,prior rel bias FR,prior unc FR frac,post bias red BASE FR,post unc red BASE FR,post bias red CORSO FR,post unc red CORSO FR,prior rel bias Benelux,prior unc Benelux frac,post bias red BASE Benelux,post unc red BASE Benelux,post bias red CORSO Benelux,post unc red CORSO Benelux,prior rel bias British Isles,prior unc British Isles frac,post bias red BASE British Isles,post unc red BASE British Isles,post bias red CORSO British Isles,post unc red CORSO British Isles
29.0,50.0,61.0,74.0,60.0,80.0,35.0,151.0,100.0,87.0,81.0,88.0,42.0,196.0,99.0,84.0,88.0,90.0,28.0,60.0,23.0,29.0,43.0,30.0,14.0,340.0,-9.0,86.0,-110.0,80.0,13.0,156.0,78.0,60.0,-41.0,75.0
20.0,58.0,72.0,75.0,83.0,85.0,25.0,173.0,92.0,87.0,98.0,91.0,32.0,215.0,98.0,88.0,94.0,90.0,17.0,75.0,-34.0,42.0,-15.0,50.0,6.0,360.0,-65.0,85.0,-180.0,85.0,4.0,139.0,-34.0,50.0,-261.0,69.0
22.0,53.0,59.0,75.0,83.0,87.0,29.0,165.0,92.0,85.0,92.0,91.0,29.0,218.0,91.0,87.0,91.0,88.0,31.0,67.0,94.0,54.0,81.0,44.0,15.0,319.0,25.0,80.0,-27.0,82.0,6.0,160.0,-64.0,61.0,-208.0,80.0
20.0,56.0,70.0,61.0,83.0,77.0,27.0,173.0,96.0,84.0,93.0,91.0,28.0,245.0,79.0,87.0,66.0,89.0,25.0,77.0,19.0,49.0,14.0,60.0,15.0,379.0,59.0,84.0,74.0,86.0,10.0,191.0,-78.0,63.0,-428.0,68.0
17.0,62.0,73.0,69.0,98.0,79.0,25.0,198.0,73.0,85.0,68.0,89.0,22.0,266.0,60.0,87.0,93.0,89.0,31.0,93.0,74.0,46.0,98.0,60.0,16.0,478.0,-214.0,87.0,-171.0,86.0,16.0,162.0,-36.0,63.0,-138.0,66.0
7.0,54.0,85.0,55.0,-5.0,72.0,14.0,152.0,75.0,85.0,80.0,80.0,13.0,201.0,79.0,84.0,99.0,81.0,12.0,88.0,-118.0,60.0,-120.0,62.0,10.0,413.0,-151.0,77.0,-83.0,79.0,6.0,194.0,-52.0,49.0,-888.0,60.0
1.0,60.0,-154.0,77.0,-642.0,81.0,5.0,192.0,-141.0,87.0,-42.0,91.0,4.0,266.0,-204.0,86.0,-34.0,91.0,0.0,72.0,-8967.0,23.0,-8090.0,47.0,4.0,460.0,-326.0,88.0,-337.0,83.0,1.0,243.0,-7515.0,72.0,-293.0,79.0
12.0,72.0,35.0,71.0,87.0,78.0,17.0,244.0,74.0,89.0,77.0,90.0,15.0,331.0,39.0,89.0,4.0,90.0,17.0,86.0,-14.0,38.0,25.0,55.0,13.0,526.0,-67.0,90.0,-144.0,85.0,14.0,243.0,-122.0,65.0,68.0,75.0
15.0,69.0,11.0,71.0,46.0,71.0,22.0,198.0,17.0,89.0,58.0,87.0,22.0,258.0,13.0,87.0,75.0,86.0,19.0,84.0,77.0,53.0,100.0,63.0,17.0,400.0,-84.0,86.0,-68.0,83.0,10.0,189.0,-229.0,73.0,92.0,64.0
22.0,57.0,4.0,75.0,22.0,78.0,28.0,174.0,89.0,87.0,83.0,89.0,28.0,234.0,92.0,86.0,96.0,90.0,26.0,71.0,98.0,39.0,92.0,57.0,16.0,386.0,33.0,83.0,-18.0,86.0,14.0,196.0,-56.0,73.0,-174.0,74.0
21.0,56.0,65.0,78.0,63.0,80.0,26.0,155.0,99.0,84.0,93.0,89.0,27.0,227.0,83.0,85.0,87.0,90.0,27.0,76.0,56.0,26.0,43.0,62.0,8.0,357.0,-115.0,82.0,-221.0,81.0,8.0,202.0,-241.0,46.0,74.0,60.0
22.0,55.0,65.0,81.0,68.0,82.0,26.0,179.0,96.0,87.0,83.0,88.0,28.0,258.0,96.0,85.0,78.0,88.0,25.0,78.0,1.0,52.0,11.0,55.0,8.0,355.0,-85.0,89.0,-77.0,83.0,2.0,178.0,-83.0,66.0,-57.0,74.0
